电影名,图片连接,电影评分,评价人数,内容简介
真爱至上, https://img3.doubanio.com/view/photo/s_ratio_poster/public/p475600770.jpg, 8.6, 500036人评价, 爱，是个动词。
三块广告牌, https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2510081688.jpg, 8.7, 577628人评价, 怼天怼地，你走后，她与世界为敌。
萤火虫之墓, https://img1.doubanio.com/view/photo/s_ratio_poster/public/p1157334208.jpg, 8.7, 306784人评价, 幸福是生生不息，却难以触及的远。 
心迷宫, https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2276780256.jpg, 8.7, 328586人评价, 荒诞讽刺，千奇百巧，抽丝剥茧，百转千回。
哪吒闹海, https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2516566783.jpg, 9.0, 162116人评价, 想你时你在闹海。
纵横四海, https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2272146906.jpg, 8.8, 270290人评价, 香港浪漫主义警匪动作片的巅峰之作。
天书奇谭, https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2515539487.jpg, 9.2, 129096人评价, 传奇的年代，醉人的童话。
我是山姆, https://img9.doubanio.com/view/photo/s_ratio_poster/public/p652417775.jpg, 8.9, 196765人评价, 爱并不需要智商 。
达拉斯买家俱乐部, https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2166160837.jpg, 8.8, 307553人评价, Jared Leto的腿比女人还美！
爆裂鼓手, https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2220776342.jpg, 8.7, 376486人评价, 这个世界从不善待努力的人，努力了也不一定会成功，但是知道自己在努力，就是活下去的动力。
东邪西毒, https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1982176012.jpg, 8.6, 414091人评价, 电影诗。
记忆碎片, https://img3.doubanio.com/view/photo/s_ratio_poster/public/p641688453.jpg, 8.6, 421345人评价, 一个针管引发的血案。
贫民窟的百万富翁, https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2434249040.jpg, 8.6, 546639人评价, 上帝之城+猜火车+阿甘正传+开心辞典=山寨富翁
荒蛮故事, https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2231250054.jpg, 8.8, 275764人评价, 始于荒诞，止于更荒诞。
黑天鹅, https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2549648344.jpg, 8.6, 611344人评价, 黑暗之美。
头号玩家, https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2516578307.jpg, 8.7, 964368人评价, 写给影迷，动漫迷和游戏迷的一封情书。
花样年华, https://img9.doubanio.com/view/photo/s_ratio_poster/public/p1910828286.jpg, 8.6, 385104人评价, 偷情本没有这样美。
你的名字。, https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2395733377.jpg, 8.4, 918161人评价, 穿越错位的时空，仰望陨落的星辰，你没留下你的名字，我却无法忘记那句“我爱你”。
卢旺达饭店, https://img3.doubanio.com/view/photo/s_ratio_poster/public/p470419493.jpg, 8.9, 193076人评价, 当这个世界闭上双眼，他却敞开了怀抱。
人生果实, https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2544912792.jpg, 9.5, 76525人评价, 土壤没有落叶不会肥沃，没有了你就不算人生。
